99,26,85,57,96,2,34,96,45,81,73,41,89,71,8,19,70,81
36,51,49,96,61,25,7,84,53,40,72,24,70,40,77,27,79,29
16,60,95,52,28,53,45,34,40,92,81,52,34,39,51,44,48,54
65,62,2,7,74,17,55,52,51,100,45,81,32,99,38,52,48,65
71,7,33,43,50,44,56,50,35,56,1,95,80,55,17,94,46,5
78,76,87,8,13,70,71,73,94,18,15,48,59,49,82,13,65,67
26,76,78,65,12,82,65,22,54,6,19,30,6,69,49,77,17,84
27,85,35,92,92,74,27,86,27,51,53,25,45,72,96,47,6,20
87,30,91,1,28,76,55,97,38,77,52,26,51,71,25,59,99,78
74,42,24,85,57,85,69,10,61,88,15,44,68,61,38,61,7,11
74,79,36,39,70,43,1,36,25,35,7,96,12,42,86,31,59,26
22,39,70,25,82,92,27,51,48,25,12,86,59,48,40,40,9,31
88,56,93,88,64,36,24,34,52,99,1,50,77,20,92,14,82,74
100,7,94,62,51,30,44,65,17,99,10,75,8,90,94,10,88,84
90,97,48,82,47,92,64,92,33,3,98,37,82,3,17,45,57,28
41,38,40,1,44,66,84,27,9,43,1,75,42,33,48,16,90,73
89,53,70,67,75,38,88,83,43,98,95,62,9,44,33,19,91,87
49,56,18,52,100,42,28,13,40,69,96,75,53,25,83,15,53,72
35,21,43,77,35,76,29,16,12,58,92,80,90,39,9,9,35,47
38,23,97,31,80,97,91,56,79,91,27,44,87,31,68,47,26,59
98,45,22,80,46,28,69,93,63,45,36,47,65,24,11,32,4,50
25,75,47,7,72,30,38,44,92,84,38,93,58,49,2,87,15,45
2,16,61,37,71,65,13,95,38,27,26,19,17,83,39,30,55,5
93,88,5,75,96,26,52,14,57,5,33,24,70,25,62,58,91,32
7,81,66,91,43,52,23,21,96,47,3,89,62,88,39,76,23,92
35,70,92,38,5,92,38,16,20,19,84,54,36,96,24,86,71,46
18,91,64,68,53,53,34,7,25,31,86,8,93,11,40,45,25,46
21,32,58,74,95,36,63,15,66,19,27,58,15,24,63,76,80,79
44,84,96,86,86,57,84,14,50,43,49,7,81,82,4,51,54,96
64,1,34,66,46,96,96,82,72,75,92,88,48,70,63,37,69,23
44,66,38,21,23,66,1,52,5,64,11,47,69,90,89,78,64,23
