23,95,82,47,78,93,17,28,7,85,93,6,21,98,78,45,16,78,46,55,100
75,29,16,83,51,92,24,58,15,94,3,89,81,90,40,50,55,52,19,42,47
71,70,87,66,82,53,16,4,78,78,14,55,70,53,71,64,62,33,93,69,21
32,45,7,41,25,32,83,87,85,15,56,32,69,60,62,42,15,69,21,46,62
78,93,90,46,88,81,58,61,93,50,100,93,66,38,61,13,74,73,54,65,41
74,84,56,69,70,82,57,82,61,22,3,96,73,5,62,63,33,20,56,28,9
27,32,62,74,25,5,71,43,91,46,9,94,100,66,100,71,18,16,61,68,68
92,4,36,42,99,37,49,22,5,82,93,15,86,32,96,3,99,67,32,57,1
16,75,30,16,55,79,91,15,56,19,96,10,91,1,15,82,33,4,43,28,92
16,34,93,93,72,26,46,43,67,43,71,83,28,8,29,3,28,10,35,89,17
67,48,77,74,98,60,84,22,69,100,69,94,54,7,20,43,5,14,74,40,40
89,65,95,27,7,65,66,53,69,82,97,94,16,42,46,16,50,17,19,4,53
25,81,29,9,38,93,59,43,69,12,24,66,23,8,19,22,47,94,98,44,85
17,78,91,88,88,20,91,64,74,50,85,49,21,39,33,51,65,87,13,90,64
75,18,43,63,48,30,50,3,18,8,81,1,3,20,78,14,79,4,87,60,45
42,96,38,73,91,38,53,59,55,57,90,93,92,93,79,28,30,34,20,39,94
22,92,55,98,77,13,91,79,6,22,63,28,20,29,100,40,72,12,96,78,30
16,54,49,43,18,39,66,16,55,9,19,13,94,17,6,3,81,38,5,88,96
